esco_uri,esco_label,um_uri,um_label,datum
http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f,PHP,http://data.europa.eu/esco/skill/ppp,PPP,2025-05-05 00:25:10
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/asd,asd,2025-05-05 00:38:54
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/asd,asd,2025-05-05 00:38:54
http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,Catalan,http://data.europa.eu/esco/skill/aaa,AAA,2025-05-05 00:48:52
http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,Catalan,http://data.europa.eu/esco/skill/aaa,AAA,2025-05-05 00:48:52
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/q,Q,2025-05-05 00:54:47
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/w,W,2025-05-05 00:54:47
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/w,W,2025-05-05 00:54:47
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/w,W,2025-05-05 00:54:47
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/ppppppp,PPPPPPP,2025-05-05 00:54:47
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,http://data.europa.eu/esco/skill/ijijij,ijijij,2025-05-05 00:54:47
http://data.europa.eu/esco/skill/343c4f94-e2b6-4dea-b4eb-e82e3c04fa22,apply extensive study of wine types,http://data.europa.eu/esco/skill/um_use-chainsaw,UM use chainsaw,2025-05-05 00:58:39
http://data.europa.eu/esco/skill/343c4f94-e2b6-4dea-b4eb-e82e3c04fa22,apply extensive study of wine types,http://data.europa.eu/esco/skill/um_dajdajdaj,UM dajdajdaj,2025-05-05 00:58:39
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,apply basic programming skills,http://data.europa.eu/esco/skill/test-skill,test programming skill,2025-05-05 01:07:23
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,apply basic programming skills,http://data.europa.eu/esco/skill/test-skill2,test programming skill 2,2025-05-05 01:07:23
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,apply basic programming skills,http://data.europa.eu/esco/skill/asd,asd,2025-05-05 01:07:23
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,apply basic programming skills,http://data.europa.eu/esco/skill/q,Q,2025-05-05 01:07:23
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,apply basic programming skills,http://data.europa.eu/esco/skill/asd,asd,2025-05-05 01:07:23
http://data.europa.eu/esco/skill/3a174b30-37a1-4ce8-aa8d-e36abca1923a,buy advertising space,http://data.europa.eu/esco/skill/um_martinscina,UM martinscina,2025-05-05 01:08:49
http://data.europa.eu/esco/skill/1b08d1b9-af03-4175-8307-8f3660b42356,identify drying defects in wood,http://data.europa.eu/esco/skill/aaa,AAA,2025-05-05 01:10:20
http://data.europa.eu/esco/skill/1b08d1b9-af03-4175-8307-8f3660b42356,identify drying defects in wood,http://data.europa.eu/esco/skill/aaa,AAA,2025-05-05 01:10:20
http://data.europa.eu/esco/skill/1b08d1b9-af03-4175-8307-8f3660b42356,identify drying defects in wood,http://data.europa.eu/esco/skill/ppp,PPP,2025-05-05 01:10:20
http://data.europa.eu/esco/skill/1b08d1b9-af03-4175-8307-8f3660b42356,identify drying defects in wood,http://data.europa.eu/esco/skill/ppppppp,PPPPPPP,2025-05-05 01:10:20
http://data.europa.eu/esco/skill/1b08d1b9-af03-4175-8307-8f3660b42356,identify drying defects in wood,http://data.europa.eu/esco/skill/um_qweqwe,UM qweqwe,2025-05-05 01:10:20
http://data.europa.eu/esco/skill/b5a118aa-f8ae-4a34-a7aa-b470444b4769,cut clay,http://data.europa.eu/esco/skill/w,W,2025-05-05 09:11:09
http://data.europa.eu/esco/skill/b5a118aa-f8ae-4a34-a7aa-b470444b4769,cut clay,http://data.europa.eu/esco/skill/w,W,2025-05-05 09:11:09
http://data.europa.eu/esco/skill/b5a118aa-f8ae-4a34-a7aa-b470444b4769,cut clay,http://data.europa.eu/esco/skill/w,W,2025-05-05 09:11:09
http://data.europa.eu/esco/skill/8034a1ea-5ee0-4a84-8fd3-16411c8d86fb,agroforestry,http://data.europa.eu/esco/skill/ijijij,ijijij,2025-05-05 09:15:21
http://data.europa.eu/esco/skill/8034a1ea-5ee0-4a84-8fd3-16411c8d86fb,agroforestry,http://data.europa.eu/esco/skill/um_yxc,UM yxc,2025-05-05 09:15:21
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_cxy,UM cxy,2025-05-18 15:29:50
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_001,Time management,2025-05-18 15:29:50
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_002,Data analysis,2025-05-18 15:29:50
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_003,Creative thinking,2025-05-18 16:09:22
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_004,Critical thinking,2025-05-18 16:10:37
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_005,Problem solving,2025-05-18 16:10:37
http://data.europa.eu/esco/skill/802e6973-3270-4cf0-86e4-a6835caf1ba6,project management methodology (PM²),http://data.europa.eu/esco/skill/um_006,Project management,2025-05-18 16:11:34
http://data.europa.eu/esco/skill/c76ea1b8-25a3-4084-a684-dcf10b7c880c,ecopedagogy,http://data.europa.eu/esco/skill/um_013,Adaptability,2025-05-18 16:16:44
